,Unnamed: 0,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.4 Expected Annual Damage,A.4 Expected Number of Deaths,Total Infrastructure Costs,Total Expected Annual Damage,Total Expected Number of Deaths
22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4863753.381255714,0.0003409987310670814,57554490.86442277,80996973.28653352,0.012245996669700608
23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4863753.381255714,0.0003409987310670814,32694901.094161935,184099338.50688934,0.03565400646622211
24,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1645658.3807605652,0.00012971079350706027,124022051.71322732,35960402.23707566,0.004872109361909536
25,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4690759.323959359,0.0003204864997302628,30700000.0,204160209.4227686,0.02160680149290827
26,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4863753.381255714,0.0003409987310670814,59423021.43590583,69577138.81436919,0.009227021102190357
27,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1645658.3807605652,0.00012971079350706027,121481035.8317458,47811140.864456944,0.006458521938199672
28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4863753.381255714,0.0003409987310670814,52994188.72148262,102707060.37168874,0.014534980250084656
29,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0.0,0.0,61183519.60263193,86423472.51826869,0.011175005951507323
30,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4863753.381255714,0.0003409987310670814,37255203.23710208,162389251.42173412,0.03336502288583806
31,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3332731.4136409853,0.00022808159061377524,20299287.62732069,223624458.26698726,0.02439838292786428
32,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,26620087.93698693,220291726.8533463,0.024170301337250507
33,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,63875291.174089015,76133219.9052778,0.011904997938633526
34,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4863753.381255714,0.0003409987310670814,54862719.29296569,91287225.8995244,0.011516004682574405
35,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,37020800.309666246,199469450.09880924,0.02128631499317801
36,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,59314989.031148866,97843306.99043302,0.014193981519017573
37,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0.0,0.0,122492315.74160133,46165482.48369638,0.006328811144692611
38,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0.0,0.0,125033331.62308285,34314743.85631509,0.004742398568402475
39,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,39015701.403828174,179235585.12563363,0.03531300773515503
40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,43576003.54676832,157525498.0404784,0.03302402415477097
41,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4353412.7253841385,0.0003033596842493127,52994188.72148262,143012859.67012158,0.017822781142677865
42,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3843072.069512562,0.00026572063743154396,52994188.72148262,183318658.96855447,0.021110582035271077
43,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4353412.7253841385,0.0003033596842493127,54862719.29296569,135399636.6886787,0.015810130764337696
44,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0.0,0.0,123164801.05159979,45428345.37918204,0.007669938356584867
45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3843072.069512562,0.00026572063743154396,54862719.29296569,179512047.47783303,0.020104256846100992
46,46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1645658.3807605652,0.00012971079350706027,122153521.14174426,47074003.759942606,0.007799649150091927
